id,title,url,read,read_at,create_at
1,【完全版】Google Chrome（クローム）ショートカットキーまとめ【Windows／Mac】  Beyond（ビヨンド）,https://boxil.jp/beyond/a6976/ ,False,,2024/01/31 23:36:16
2,(7) Watch later - YouTube,https://www.youtube.com/playlist?list=WL ,False,,2024/01/31 23:36:16
3,【初心者向け】ServiceProviderを理解するためだけに作ったプロジェクト - Qiita,https://qiita.com/morry_48/items/4d2cfd5a491379f7ce0b ,False,,2024/01/31 23:36:16
4,Docker × Laravel × Dacapo × SchemaSpyでER図を自動生成する - Qiita,https://qiita.com/ucan-lab/items/76316c2723bdcce6eee1 ,False,,2024/01/31 23:36:16
5,ucan-lab - Qiita,https://qiita.com/ucan-lab?page=3 ,False,,2024/01/31 23:36:16
6,(50) 第128回 【5つのアドバイス】時間をかけてお金持ちになることに耐えられない人に、全力で伝えたいこと【人生論】 - YouTube,https://www.youtube.com/watch?v=r9fQQYvLSzk ,False,,2024/01/31 23:36:16
7,「会社四季報」最強のウラ読み術  渡部清二  一般・投資読み物  Kindleストア  Amazon,https://www.amazon.co.jp/dp/B07MZGY3TH/ref=sspa_dk_detail_5?psc=1&pd_rd_i=B07MZGY3THp13NParams&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyQ1Y3UVNNSllXNllWJmVuY3J5cHRlZElkPUEwMTkyOTIxUEtCUkVDSVFTRVdZJmVuY3J5cHRlZEFkSWQ9QTE5Tk1aNkwzTFREN0wmd2lkZ2V0TmFtZT1zcF9kZXRhaWwmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl ,False,,2024/01/31 23:36:16
8,"株式投資の未来～永続する会社が本当の利益をもたらす  ジェレミー・シーゲル, 瑞穂 のりこ 本  通販  Amazon",https://www.amazon.co.jp/%E6%A0%AA%E5%BC%8F%E6%8A%95%E8%B3%87%E3%81%AE%E6%9C%AA%E6%9D%A5%EF%BD%9E%E6%B0%B8%E7%B6%9A%E3%81%99%E3%82%8B%E4%BC%9A%E7%A4%BE%E3%81%8C%E6%9C%AC%E5%BD%93%E3%81%AE%E5%88%A9%E7%9B%8A%E3%82%92%E3%82%82%E3%81%9F%E3%82%89%E3%81%99-%E3%82%B8%E3%82%A7%E3%83%AC%E3%83%9F%E3%83%BC%E3%83%BB%E3%82%B7%E3%83%BC%E3%82%B2%E3%83%AB/dp/4822244571/ref=sr_1_1?adgrpid=104136450397&dchild=1&gclid=CjwKCAjwr_uCBhAFEiwAX8YJgfXQzVlzfC8FjnNwzNy9DqNLExyKgIiss4MymAtXvV4U9Pv3rWVruRoC52cQAvD_BwE&hvadid=448114077350&hvdev=c&hvlocphy=1009247&hvnetw=g&hvqmt=e&hvrand=10578827474699376691&hvtargid=kwd-317309011619&hydadcr=4072_10899412&jp-ad-ap=0&keywords=%E6%A0%AA%E5%BC%8F%E6%8A%95%E8%B3%87%E3%81%AE%E6%9C%AA%E6%9D%A5&qid=1616892441&sr=8-1 ,False,,2024/01/31 23:36:16
9,(3) 生き残るエンジニアになるために、今持つべき「判断軸」とは,https://newspicks.com/news/5691796?ref=index&block=economic&a=QIqxiaSUsM0qRrYUw8yY4dkmdcF%2FuN7Tsiwzr1nzYEyTgECahQO6paEXjd7MGvr7EIe9Ksbl%2BcbK7jGlfy192tmCwxmjpScAYblr%2FL6Ijon4xYILpgygtzJmu%2FXzdiHNbmv1yS66ym4LmxsaIORZDHIwiXnLhoQi8QDPfsByzgBbLVodvgWXkoKKRDcSHrV%2FjqBpPeqjBSD9Xui56uhyXxtAVmyPqCkORZwO4LQ5or2zegsZlYu5bw3Rx3lysl7EQKeRxxey6UUkVqP2i2ukR2%2BZD0XOHON1R%2F5aygoKzYuAt58Y9gvwuxJ6i7WC%2B6coEs%2FdOTPU8F1eOFFIdYJrbQReoc12McbdXTRcc4rFXE5rtHGX8mNH1DpMYEaPhzAL&adid=pLIr ,False,,2024/01/31 23:36:16
10,(3) ビットコインが上昇、VISA報道の後に反発,https://newspicks.com/news/5724215?ref=index&block=market ,False,,2024/01/31 23:36:16
